,Journal name,Auditor initials,prereg_trial,comment_prereg_trial,prereg_other,comment_prereg_other,stat_tests,comment_stat_tests,outcomes,comment_outcomes,alpha,comment_alpha,exclude,comment_exclude,missing,comment_missing,prior,comment_prior,var,comment_var,mean,comment_mean,median,comment_median,no_sem,comment_no_sem,pval,comment_pval,exact_p,comment_exact_p,precision,comment_precision,trend,comment_trend,posterior,comment_posterior,fig_var,comment_fig_var,fig_raw_data,comment_fig_raw_data,pub_data,comment_pub_data,pub_proc,comment_pub_proc,pub_stat,comment_pub_stat,inconsistent,inconsistent_txt
6,acta neuropathologica,ZD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,2,,1,,1,,0,
7,acta physiologica,ZD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,3,,2,,2,,0,
8,alzheimers research & therapy,ZD,3,,2,,2,,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,1,,1,,1,,2,,2,,2,,0,
64,american journal of physiology-heart and circulatory physiology,LB,3,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,1,,1,,2,,1,,1,,1,,1,,2,,3,,2,,1,Encourages authors to consult the APS editorial. ,1,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?"
63,american journal of physiology-lung cellular and molecular physiology,LB,3,"If clinical trials were used, a statement of registration is required - not sure if this is enough?",1,,1,,1,,1,,1,,1,,1,,1,,2,"Advances in Physiology Education supports adherence of two of the 2004 Guidelines for Reporting Statistics:  Guideline 5. Report variability using a standard deviation. If the standard deviation is not a meaningful estimate of variability, as when the data are skewed, then the range or interquartile range provide more meaningful estimates",2,,1,,1,,2,,1,,1,,1,,1,,2,Authors are strongly encouraged to present graphical data in a format that shows the range of data points in relation to the mean value and significance (i.e. dot-whisker plots) rather than formats that may mask the variability (i.e. bar graphs).,3,"Provide the experimental data and results as well as the particular statistical significance of the data.     To facilitate better reporting of information and data that are auxiliary or ancillary to the main content of the article, data supplements must now be deposited in generalist public access data repository if no community resource is available ",2,"1.	Upon submission of a paper reporting computer simulation using original, author-generated code, authors are encouraged to deposit software and code via a public repository, such as GitHub, if not already deposited to a public repository",1,,1,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?    Encouraged authors to consult the APS editorial. "
24,annals of neurology,ZD,1,"Only specifies registration, not PRE-registration:   All clinical trials must be registered in a database that meets the requirements set forth by the ICMJE....",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
85,applied physiology nutrition and metabolism,MH,3,,1,,1,,1,,1,,1,,1,,1,,1,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",1,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",3,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",1,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",3,,1,,1,,1,,1,,3,,1,,2,"Supply a data availability statement that says whether the data underpinning the work are available. If yes, specify how data can be accessed and under what conditions data can be reused. Supply repository name, persistent unique identifier (PID: DOI/compact identifier/accession number), and hyperlink.    We encourage authors to make their primary research data publicly available for all articles reporting original research.",1,,1,,0,
69,behavioral neuroscience,JD,1,,1,Journal publishes registered reports. Strongly recommends pre-registration for replication studies only,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
95,behavioural brain research,AB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
96,bmc neuroscience,AB,1,,1,,3,,3,,1,,1,,1,,1,,3,,3,,3,does not mention IQR but does mention SD SEM and CI where appropriate,1,,1,,1,,1,,1,,1,,3,general guideline only for all measures,3,"for n < 6, individual data   values should be shown rather than summary statistics alone",3,"Inst to authors doc: For all journals, BioMed Central strongly encourages all datasets    vs    Min reporting guidelines BMC: All datasets on which the conclusions of the paper rely must be either deposited in publicly   available repositories",3,,1,,1,"Inst to authors doc: For all journals, BioMed Central strongly encourages all datasets    vs    Min reporting guidelines BMC: All datasets on which the conclusions of the paper rely must be either deposited in publicly   available repositories"
