,rank,journal,total_cites,impact_factor,citable_items,eigenfactor,auditor,record_id,ref_doc,prereg_trial,prereg_other,stat_tests,outcomes,alpha,exclude,missing,prior,var,mean,median,no_sem,pval,exact_p,precision,trend,posterior,fig_var,fig_raw_data,pub_data,pub_proc,pub_stat,inconsistent,inconsistent_txt
2,4,acta neuropathologica,21910,14.256,108,0.0408,ZD,7,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,0,
15,7,acta physiologica,5106,5.542,100,0.00831,ZD,8,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,0,
10,11,alzheimers research & therapy,3876,6.116,111,0.01166,ZD,9,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,2,0,
33,15,american journal of physiology-heart and circulatory physiology,26114,3.864,260,0.02036,LB,65,1,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,3,2,1,1,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?"
27,16,american journal of physiology-lung cellular and molecular physiology,13085,4.418,174,0.01551,LB,64,1,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,3,2,1,1,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?    Encouraged authors to consult the APS editorial. "
4,20,annals of neurology,37304,9.037,175,0.04417,ZD,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
62,24,applied physiology nutrition and metabolism,5955,2.522,190,0.01027,MH,86,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,3,1,2,1,1,0,
86,34,behavioral neuroscience,6533,1.714,57,0.00357,JD,70,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
50,35,behavioural brain research,26293,2.977,563,0.03079,AB,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
51,43,bmc neuroscience,4722,2.811,65,0.00452,AB,97,0,1,1,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,3,3,3,3,1,1,"Inst to authors doc: For all journals, BioMed Central strongly encourages all datasets    vs    Min reporting guidelines BMC: All datasets on which the conclusions of the paper rely must be either deposited in publicly   available repositories"
3,44,brain,53283,11.337,265,0.06713,ZD,26,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,0,
