"Record ID","Auditor initials","Journal name","Does the journal recommend or mandate any relevant document? (e.g. EQUATOR guidelines, J Physiol Drummond good reporting series, J Appl Physiol Curran-Everett series)    * If the journal only mentions or highlights that external reporting guidelines exists, DO NOT tick the box in RedCap for the mentioned reporting guideline(s).  * If the journal recommends or mandates one or more external reporting guidelines, DO tick the box in RedCap for the mentioned reporting guideline(s).","Name(s) of reference document(s) (choice=AGREE)","Name(s) of reference document(s) (choice=APS_Rigor)","Name(s) of reference document(s) (choice=ARRIVE)","Name(s) of reference document(s) (choice=BRISQ)","Name(s) of reference document(s) (choice=CARE)","Name(s) of reference document(s) (choice=CHEERS)","Name(s) of reference document(s) (choice=CONSORT)","Name(s) of reference document(s) (choice=COREQ)","Name(s) of reference document(s) (choice=FORCE)","Name(s) of reference document(s) (choice=GRIPS)","Name(s) of reference document(s) (choice=ICMJE-recomm)","Name(s) of reference document(s) (choice=MOOSE)","Name(s) of reference document(s) (choice=PRISMA)","Name(s) of reference document(s) (choice=recomm-report-)","Name(s) of reference document(s) (choice=RECORD)","Name(s) of reference document(s) (choice=REFLECT)","Name(s) of reference document(s) (choice=REMARK)","Name(s) of reference document(s) (choice=RIGHT)","Name(s) of reference document(s) (choice=SAMPL)","Name(s) of reference document(s) (choice=SPIRIT)","Name(s) of reference document(s) (choice=SQUIRE)","Name(s) of reference document(s) (choice=SRQR)","Name(s) of reference document(s) (choice=stand-rep-qual-)","Name(s) of reference document(s) (choice=STARD)","Name(s) of reference document(s) (choice=STREGA)","Name(s) of reference document(s) (choice=STROBE)","Name(s) of reference document(s) (choice=STROND PART 1 AND 2)","Name(s) of reference document(s) (choice=TIDieR)","Name(s) of reference document(s) (choice=TOP)","Name(s) of reference document(s) (choice=TREND)","Name(s) of reference document(s) (choice=TRIPOD)","Report whether the study protocol was pre-registered, for clinical trials?",Comments,"Report whether the study protocol was pre-registered or registered, for all other study designs?",Comments,"Report all statistical tests performed?",Comments,"Report all outcomes?",Comments,"Report, for frequentist analysis, the alpha threshold (e.g. 0.05) that defines statistical significance?",Comments,"Report criteria used to exclude data?",Comments,"Report how any missing data were treated in the analyses?",Comments,"Report, for Bayesian analysis, the prior probabilities?",Comments,"Define all written measures that describe data variability?",Comments,"Describe data using mean and SD, where appropriate?",Comments,"Describe data using median and IQR, range, or both, where appropriate? ",Comments,"NOT use the SE or CI (e.g. 95% CI) to describe data?",Comments,"Report the P value for all tests of statistical significance? ",Comments,"Report exact P values (e.g. p = 0.021 or p < 0.001)?",Comments,"Report a measure of precision (e.g. 95% CI) for effect sizes? ",Comments,"NOT interpret P values above the alpha threshold as trends towards statistical significance or as statistically significant?",Comments,"Report, for Bayesian analysis, the posterior distribution with a measure of central tendency and a credibility interval?",Comments,"Define all plotted measures that summarise data variability or estimates of effect size?",Comments,"Plot the individual participant/ specimen data in all figures that summarise data variability or estimates of effect size?",Comments,"Make (de-identified) data used in the statistical analysis publicly available?",Comments,"Make data processing code or spreadsheets publicly available? ",Comments,"Make statistical analysis code or spreadsheets publicly available? ",Comments,"Were there inconsistencies within the Journal Instructions to authors? (e.g. Journal Instructions state 'do not report SEs' in text but, in another section of the Journal Instructions to authors, show examples of figures with SEs)","If YES, copy-paste relevant text, or comment",Complete?
1,JD,"brain injury",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,No,,Incomplete
2,JD,"experimental brain research",Yes,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Required/mandated,"Only required for prospective clinical trials.   Retrospectively registered trials are still permitted:  For clinical trials that have not been registered prospectively, authors are encouraged to register retrospectively to ensure the complete publication of all results. The trial registration number (TRN), date of registration and the words 'retrospectively registered' should be included as the last line of the manuscript abstract.","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Required/mandated,"Data availability statement:  A submission to the journal implies that materials described in the manuscript, including all relevant raw data, will be freely available to any researcher wishing to use them for non-commercial purposes, without breaching participant confidentiality.  E.g. of statement:  1. The datasets generated during and/or analysed during the current study are available in the [NAME] repository, [PERSISTENT WEB LINK TO DATASETS]  2. The datasets generated during and/or analysed during the current study are available from the corresponding author on reasonable request.","Not mentioned",,"Not mentioned",,Yes,"The journal's definition of ""freely available"" data does not necessarily mean ""publicly available"":  They consider data are freely available if data are provided by corresponding author on reasonable request (see data availability statement excerpts)",Incomplete
3,JD,"journal of electromyography and kinesiology",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,,Encouraged/recommended,,No,,Incomplete
4,LB,sleep,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,No,,Complete
5,LB,"journal of neuroscience research",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,,"Not mentioned",,Required/mandated,,Encouraged/recommended,,"Not mentioned",,Encouraged/recommended,,Required/mandated,,Required/mandated,,Required/mandated,,Required/mandated,,Required/mandated,,Required/mandated,,"Not mentioned",,"Not mentioned",,Required/mandated,,"Not mentioned","Guidelines stated - Use dotplot overlays if sample size is small. ",Required/mandated,,Encouraged/recommended,,Encouraged/recommended,,No,,Complete
6,LB,"experimental neurology",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,,Encouraged/recommended,,No,,Complete
7,ZD,"acta neuropathologica",Yes,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Required/mandated,,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,No,,Unverified
8,ZD,"acta physiologica",No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Required/mandated,,"Not mentioned",,Required/mandated,,Encouraged/recommended,,Encouraged/recommended,,No,,Unverified
9,ZD,"alzheimers research & therapy",Yes,Unchecked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Required/mandated,,Encouraged/recommended,,Encouraged/recommended,,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,,Encouraged/recommended,,No,,Unverified
10,AB,"clinical journal of sport medicine",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,No,,Complete
11,AB,"pflugers archiv-european journal of physiology",Yes,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"strongly encouraged  encouraged","Not mentioned",,"Not mentioned",,No,,Complete
12,AB,cerebellum,Yes,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned","Upon request authors should be prepared to send relevant documentation or data ","Not mentioned",,No,,Complete
